Batch Size,Accuracy,TP,TN,FP,FN,Sensitivity,Specificity,F1,ROC_AUC
1,0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.9978494623655915
4,0.9473684210526315,0.35526315789473684,0.5921052631578947,0.0,0.05263157894736842,0.8709677419354839,1.0,0.9310344827586207,0.9792114695340501
6,0.9078947368421053,0.35526315789473684,0.5526315789473685,0.039473684210526314,0.05263157894736842,0.8709677419354839,0.9333333333333333,0.8852459016393444,0.9713261648745519
8,0.9210526315789473,0.3684210526315789,0.5526315789473685,0.039473684210526314,0.039473684210526314,0.9032258064516129,0.9333333333333333,0.9032258064516129,0.9691756272401433
16,0.881578947368421,0.34210526315789475,0.5394736842105263,0.05263157894736842,0.06578947368421052,0.8387096774193549,0.9111111111111112,0.8524590163934426,0.9591397849462365
24,0.868421052631579,0.32894736842105265,0.5394736842105263,0.05263157894736842,0.07894736842105263,0.8064516129032258,0.9111111111111112,0.8333333333333334,0.9548387096774192
32,0.8552631578947368,0.3157894736842105,0.5394736842105263,0.05263157894736842,0.09210526315789473,0.7741935483870968,0.9111111111111112,0.8135593220338982,0.9534050179211468
40,0.8552631578947368,0.3157894736842105,0.5394736842105263,0.05263157894736842,0.09210526315789473,0.7741935483870968,0.9111111111111112,0.8135593220338982,0.9455197132616487
48,0.8552631578947368,0.3157894736842105,0.5394736842105263,0.05263157894736842,0.09210526315789473,0.7741935483870968,0.9111111111111112,0.8135593220338982,0.9448028673835125
56,0.8552631578947368,0.3157894736842105,0.5394736842105263,0.05263157894736842,0.09210526315789473,0.7741935483870968,0.9111111111111112,0.8135593220338982,0.9433691756272401
70,0.8552631578947368,0.3157894736842105,0.5394736842105263,0.05263157894736842,0.09210526315789473,0.7741935483870968,0.9111111111111112,0.8135593220338982,0.942652329749104
80,0.8552631578947368,0.3157894736842105,0.5394736842105263,0.05263157894736842,0.09210526315789473,0.7741935483870968,0.9111111111111112,0.8135593220338982,0.9440860215053763
120,0.868421052631579,0.3157894736842105,0.5526315789473685,0.039473684210526314,0.09210526315789473,0.7741935483870968,0.9333333333333333,0.8275862068965517,0.9397849462365592
