Learning Rate,Accuracy,TP,TN,FP,FN,Sensitivity,Specificity,F1,ROC_AUC
0.8,0.5921052631578947,0.0,0.5921052631578947,0.0,0.40789473684210525,0.0,1.0,,0.3100358422939068
0.6,0.5921052631578947,0.0,0.5921052631578947,0.0,0.40789473684210525,0.0,1.0,,0.2451612903225807
0.4,0.881578947368421,0.34210526315789475,0.5394736842105263,0.05263157894736842,0.06578947368421052,0.8387096774193549,0.9111111111111112,0.8524590163934426,0.8594982078853046
0.25,0.9342105263157896,0.3815789473684211,0.5526315789473685,0.039473684210526314,0.02631578947368421,0.9354838709677419,0.9333333333333333,0.9206349206349206,0.9835125448028674
0.1,0.9736842105263157,0.3815789473684211,0.5921052631578947,0.0,0.02631578947368421,0.9354838709677419,1.0,0.9666666666666666,0.9942652329749104
0.05,0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.9971326164874552
0.01,0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.9971326164874552
0.005,0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.9971326164874552
0.001,0.9473684210526315,0.35526315789473684,0.5921052631578947,0.0,0.05263157894736842,0.8709677419354839,1.0,0.9310344827586207,0.9878136200716846
